Time_type,Newspaper,Firm_size,Product_quality,Technical_support,Salesforce,New_product_development,Delivery
3,1,0,9.37,4.4,5.48,3.37,5.24
3,1,1,8.75,4.11,5.3,2.95,5.27
3,1,1,9.46,3.73,5.41,2.56,5.4
3,1,1,8.76,4.37,4.59,3.31,5.41
3,1,0,8.63,4.06,4.52,3.2,4.68
3,1,1,8.71,3.71,4.84,2.7,5.35
3,1,0,9.31,3.59,5.11,3.4,5.34
3,1,0,8.89,3.68,5.06,2.82,4.75
3,1,0,8.89,3.52,5.02,3.13,5.5
3,1,1,9.38,3.94,5.13,3,5.5
3,1,1,8.77,4.35,4.81,2.97,4.67
3,1,0,9.09,4.29,4.97,3.49,5.07
3,1,1,8.95,3.63,5.23,3.19,5.49
3,1,0,8.89,4.35,5.44,3.21,4.88
3,1,0,9.01,4.18,4.65,3.28,5.4
3,1,0,8.74,4.14,4.6,2.86,5.49
3,1,1,9.09,4.32,5.31,3.27,4.59
3,1,1,9,4.28,4.52,2.76,5.41
3,1,1,9.34,3.94,4.98,2.69,4.8
3,1,0,9.3,3.7,4.73,3.25,4.57
3,1,0,9.38,3.9,5.13,3.34,4.85
3,1,1,9.35,4.42,4.51,2.83,5.03
3,1,1,8.6,3.92,5.21,3.48,5.26
3,1,0,9.04,4.18,5.2,2.92,5.01
3,1,1,9.13,3.57,5.2,3.05,4.58
3,0,1,9.16,3.65,5.02,2.67,4.79
3,0,0,9.14,4.3,5.38,2.65,4.87
3,0,0,8.7,3.78,5.27,3.26,4.78
3,0,0,9.36,3.64,4.61,2.67,5.18
3,0,0,8.83,3.81,4.83,2.69,5.38
3,0,1,8.92,4.02,4.85,3.06,4.57
3,0,1,9.38,3.88,4.97,3.3,4.84
3,0,0,8.7,3.63,5.13,3.3,5.35
3,0,0,8.63,4.28,5.21,3.29,5.37
3,0,0,8.66,3.57,4.52,3.28,5.33
3,0,0,9.18,4.12,4.86,2.84,4.52
3,0,1,8.59,4.43,4.83,2.76,4.84
3,0,1,8.81,3.89,4.78,3.38,4.91
3,0,1,9.12,4.31,4.74,2.61,4.94
2,1,0,7.8,4.41,4.83,4.64,4.21
2,1,0,8.06,4.02,4.74,5.12,4.28
2,1,1,8.47,4.2,4.6,4.55,3.52
2,1,0,8.41,4.4,5.31,5.45,4
2,1,0,8.02,4.2,4.7,5.34,3.96
2,1,1,8.06,4.59,5.01,5.42,4.49
2,1,1,8.14,4.71,5.25,4.68,3.98
2,0,1,7.61,4.37,4.79,4.59,4.15
2,0,1,8.08,4.41,5.17,4.58,4.44
2,0,0,8.34,4.97,5.3,4.96,3.62
2,0,0,8.02,4.64,5.01,5.31,4.41
2,0,1,8.16,4.08,4.95,4.8,3.51
2,0,1,7.61,4.77,4.84,4.8,4.35
2,0,1,8.19,4.84,5.48,5.03,4.05
2,0,0,7.52,4.26,4.9,5.19,3.98
2,1,0,8.31,4.89,5.31,5.03,4.49
2,1,1,7.98,4.52,4.77,5.1,4.32
2,1,0,7.98,4.7,5.1,4.55,4.2
2,1,1,8.17,4.79,4.62,5.36,3.8
2,1,0,8.05,4.91,5.44,5.31,4
2,1,1,7.62,4.61,4.59,5.14,3.93
2,1,1,8.42,4.91,5.48,4.58,4.05
2,0,1,8.12,4.84,5.18,4.96,3.81
2,0,0,7.63,4.35,5.01,4.73,3.63
2,0,0,8.02,4.13,4.79,5.27,3.73
2,0,1,7.87,4.42,5.23,4.74,4.04
2,0,0,8.39,4.01,5.16,4.65,4.46
2,0,0,7.88,4.86,5.47,4.94,4.04
2,0,0,7.73,4.74,4.55,5.35,4.15
2,0,0,8.34,4.35,4.83,5.43,4.17
2,1,0,8.07,4.54,5.02,4.76,4.24
2,1,1,7.94,4.56,4.97,5.28,4.3
2,1,1,8.11,4.11,5.09,4.63,4.44
2,1,0,8.23,4.39,5.07,5.45,4.49
1,1,0,7.06,7.1,8.34,7.43,7.06
1,1,0,7.24,7.33,8.11,7.02,7.35
1,1,1,6.78,7.38,8.46,6.73,7.08
1,0,0,6.53,7.03,7.77,7.31,7.28
1,0,0,6.96,7.9,7.99,7.48,6.51
1,0,1,7.06,7.03,8.24,7.35,7.09
1,0,0,6.52,7.38,7.54,6.53,7.03
1,0,0,6.84,7.25,8.31,7.28,7.42
1,0,1,6.69,7.3,7.6,7.19,7.37
1,0,0,7.48,7.32,7.63,6.66,7.37
1,0,1,6.96,7.18,7.7,7.32,7.24
1,1,0,7.29,7.64,8.14,7.39,7.17
1,1,1,7.22,7.02,7.66,6.5,6.94
1,1,0,7.36,7.44,8.31,7.43,7.32
1,1,0,7.04,7.83,7.69,7.31,7.16
1,1,0,6.85,7.12,8.04,7.31,7.03
1,1,1,7.4,7.75,8.08,7.08,6.91
1,1,1,6.55,7.36,7.82,7.3,7.3
1,0,1,7.27,7.15,8.44,6.57,7.41
1,0,1,7.02,7.55,8.25,6.79,6.82
1,0,0,7.46,7.39,7.79,6.72,7.1
1,0,1,6.96,7.84,8.25,7.4,6.9
1,0,1,6.82,7.9,7.84,7.39,6.58
1,0,0,6.73,7.98,7.82,7.29,6.95
1,0,1,7.44,7.35,8.19,7.3,7.37
1,0,0,6.5,7.3,7.74,7,7.36
1,1,1,7.31,7.51,8.38,7.21,6.79
